No.,Symbol,Company Name,Stock Price,% Change,Volume,Market Cap
1,TRUG,"TruGolf Holdings, Inc.",0.68,31.84%,"140,342,645",9.30M
2,GOEV,Canoo Inc.,0.13,-24.57%,"83,791,255",13.72M
3,LOOP,"Loop Industries, Inc.",1.83,48.78%,"82,112,446",87.15M
4,SVMH,SRIVARU Holding Limited,0.03,2.53%,"66,681,935",15.68M
5,LAES,SEALSQ Corp,1.75,-5.41%,"62,085,452",52.91M
6,LCID,"Lucid Group, Inc.",2.58,1.57%,"60,372,413",7.77B
7,VCIG,VCI Global Limited,1.83,13.66%,"55,570,968",20.07M
8,SENS,"Senseonics Holdings, Inc.",0.45,3.64%,"51,043,692",265.99M
9,TLRY,"Tilray Brands, Inc.",1.19,-1.65%,"47,443,477",1.07B
10,XTIA,"XTI Aerospace, Inc.",0.04,-3.85%,"45,846,590",8.66M
11,TNXP,Tonix Pharmaceuticals Holding Corp.,0.24,5.07%,"41,406,289",44.95M
12,XXII,"22nd Century Group, Inc.",0.05,-33.20%,"41,197,305",2.28M
13,BITF,Bitfarms Ltd.,1.93,-4.46%,"41,187,311",916.03M
14,IQ,"iQIYI, Inc.",2.27,-0.87%,"41,158,016",2.18B
15,SPI,"SPI Energy Co., Ltd.",0.39,10.57%,"40,928,227",12.23M
16,AMPG,"AmpliTech Group, Inc.",2.31,5.00%,"39,627,022",29.33M
17,LICN,Lichen China Limited,0.18,-6.13%,"35,818,198",7.15M
18,ESPR,"Esperion Therapeutics, Inc.",2.25,-11.76%,"33,871,582",443.33M
19,NIO,NIO Inc.,4.51,-1.74%,"31,320,109",9.48B
20,PLUG,Plug Power Inc.,2.43,1.25%,"30,957,472",2.21B
21,BBAI,"BigBear.ai Holdings, Inc.",2.52,-5.26%,"30,794,793",631.48M
22,BURU,"Nuburu, Inc.",0.33,-33.27%,"28,929,155",6.24M
23,OPTT,"Ocean Power Technologies, Inc.",0.34,15.40%,"28,667,933",42.75M
24,CERO,"CERo Therapeutics Holdings, Inc.",0.06,-18.53%,"27,587,907",8.52M
25,GGB,Gerdau S.A.,3.26,-4.12%,"26,652,710",6.65B
26,RIME,"Algorhythm Holdings, Inc.",0.08,3.32%,"25,014,844",1.11M
27,CAN,Canaan Inc.,2.86,3.62%,"24,671,079",824.50M
28,BBD,Banco Bradesco S.A.,2.02,-1.94%,"24,155,952",20.24B
29,OPEN,Opendoor Technologies Inc.,1.92,-2.04%,"24,007,744",1.37B
30,ABEV,Ambev S.A.,2.14,-1.83%,"23,417,367",33.91B
31,GSAT,"Globalstar, Inc.",1.94,-2.86%,"21,534,941",3.69B
32,KOS,Kosmos Energy Ltd.,3.01,-4.44%,"21,510,384",1.42B
33,UAMY,United States Antimony Corporation,1.92,14.97%,"18,183,597",208.20M
34,LDTC,LeddarTech Holdings Inc.,1.88,16.05%,"17,345,360",55.37M
35,SABR,Sabre Corporation,3.90,1.83%,"16,286,706",1.50B
36,RIG,Transocean Ltd.,3.86,-2.03%,"16,006,015",3.38B
37,APDN,"Applied DNA Sciences, Inc.",0.16,-26.32%,"14,727,174",8.31M
38,CHPT,"ChargePoint Holdings, Inc.",1.15,-3.36%,"14,515,016",508.69M
39,IPHA,Innate Pharma S.A.,3.02,96.10%,"13,278,669",161.44M
40,AMC,"AMC Entertainment Holdings, Inc.",4.18,-3.02%,"13,175,697",1.57B
41,DNN,Denison Mines Corp.,2.08,-3.26%,"12,645,120",1.86B
42,SFIX,"Stitch Fix, Inc.",3.92,-15.70%,"12,315,903",497.22M
43,NKLA,Nikola Corporation,1.43,-8.92%,"12,095,254",87.04M
44,NOK,Nokia Oyj,4.48,1.13%,"12,045,358",23.94B
45,BTBT,"Bit Digital, Inc.",4.10,-3.30%,"11,536,810",605.42M
46,QSI,Quantum-Si incorporated,1.72,-4.97%,"11,393,172",245.47M
47,CDT,Conduit Pharmaceuticals Inc.,0.08,-0.61%,"11,150,542",9.77M
48,MPW,"Medical Properties Trust, Inc.",3.98,-1.49%,"10,995,142",2.39B
49,GERN,Geron Corporation,3.86,-1.53%,"10,941,646",2.33B
50,AYRO,"Ayro, Inc.",0.81,24.94%,"10,799,660",5.53M
51,BTG,B2Gold Corp.,2.62,-2.96%,"10,603,792",3.46B
52,EDIT,"Editas Medicine, Inc.",1.44,-23.81%,"10,522,165",118.87M
53,KULR,"KULR Technology Group, Inc.",1.18,1.72%,"10,361,051",252.63M
54,AKTS,"Akoustis Technologies, Inc.",0.07,-10.50%,"10,339,368",10.54M
55,BB,BlackBerry Limited,2.69,-2.54%,"10,244,422",1.59B
56,FUBO,fuboTV Inc.,1.54,-3.75%,"10,127,957",514.50M
57,CRKN,Crown Electrokinetics Corp.,0.20,-5.66%,"10,047,506",1.86M
58,PACB,"Pacific Biosciences of California, Inc.",1.96,-4.16%,"9,997,353",536.77M
59,STEM,"Stem, Inc.",0.36,5.88%,"9,769,312",58.33M
60,NRDY,"Nerdy, Inc.",1.74,8.75%,"9,363,973",313.86M
61,LXRX,"Lexicon Pharmaceuticals, Inc.",0.81,-1.45%,"9,359,013",292.92M
62,INO,"Inovio Pharmaceuticals, Inc.",2.32,-38.30%,"9,255,640",60.55M
63,MLGO,MicroAlgo Inc.,2.35,-8.91%,"8,944,466",23.44M
64,NGD,New Gold Inc.,2.77,-3.48%,"8,836,263",2.18B
65,IBRX,"ImmunityBio, Inc.",2.87,-5.59%,"8,797,229",2.00B
66,VRPX,"Virpax Pharmaceuticals, Inc.",0.40,32.93%,"8,674,744",1.96M
67,RZLV,Rezolve AI Limited,1.99,-3.86%,"8,531,107",422.28M
68,EYEN,"Eyenovia, Inc.",0.08,-4.79%,"8,407,694",9.05M
69,ONDS,Ondas Holdings Inc.,1.40,37.25%,"8,253,889",108.21M
70,CDIO,"Cardio Diagnostics Holdings, Inc.",1.26,5.00%,"8,242,696",50.95M
71,LU,Lufax Holding Ltd,2.72,3.03%,"8,088,473",2.36B
72,QS,QuantumScape Corporation,4.89,-0.81%,"8,025,952",2.51B
73,INVZ,Innoviz Technologies Ltd.,0.93,6.91%,"7,993,383",155.18M
74,MVST,"Microvast Holdings, Inc.",1.27,0.79%,"7,971,774",409.10M
75,WHLR,"Wheeler Real Estate Investment Trust, Inc.",4.77,7.43%,"7,734,314",6.26M
76,SGMO,"Sangamo Therapeutics, Inc.",2.05,7.33%,"7,645,629",427.73M
77,NVTS,Navitas Semiconductor Corporation,3.44,-4.44%,"7,346,888",642.58M
78,FSM,Fortuna Mining Corp.,4.71,-3.88%,"7,268,208",1.48B
79,CLRB,"Cellectar Biosciences, Inc.",0.26,-1.52%,"7,236,735",10.73M
80,APLT,"Applied Therapeutics, Inc.",1.15,0.88%,"7,161,860",133.81M
81,SPGC,"Sacks Parente Golf, Inc.",0.31,-17.14%,"7,044,227",564.11K
82,NOVA,Sunnova Energy International Inc.,4.02,-1.71%,"6,888,864",502.31M
83,ATIF,ATIF Holdings Limited,0.80,14.29%,"6,778,421",9.53M
84,VRN,Veren Inc.,4.86,-1.00%,"6,691,980",3.00B
85,BTE,Baytex Energy Corp.,2.50,-0.56%,"6,375,368",2.02B
86,LYG,Lloyds Banking Group plc,2.79,0.72%,"6,295,761",42.31B
87,SBSW,Sibanye Stillwater Limited,4.01,-3.14%,"5,846,744",2.86B
88,AQN,Algonquin Power & Utilities Corp.,4.47,-1.32%,"5,823,416",3.42B
89,LESL,"Leslie's, Inc.",2.44,-,"5,606,852",451.33M
90,RR,Richtech Robotics Inc.,0.85,12.72%,"5,457,875",82.52M
91,SMX,SMX (Security Matters) Public Limited Company,0.28,-15.85%,"5,342,744",834.35K
92,HIVE,HIVE Digital Technologies Ltd.,3.81,-1.30%,"5,339,151",507.44M
93,MDAI,"Spectral AI, Inc.",1.80,-10.89%,"5,245,267",35.11M
94,OCGN,"Ocugen, Inc.",0.86,0.59%,"5,096,568",249.78M
95,WKSP,Worksport Ltd.,1.06,19.11%,"5,041,755",34.91M
96,BORR,Borr Drilling Limited,3.73,1.08%,"4,992,534",937.05M
97,EXK,Endeavour Silver Corp.,3.92,-4.39%,"4,961,449",1.03B
98,EOSE,"Eos Energy Enterprises, Inc.",3.40,4.62%,"4,895,272",740.90M
99,DUO,Fangdd Network Group Ltd.,0.73,-7.97%,"4,887,645",23.15M
100,GTI,Graphjet Technology,0.95,-8.20%,"4,753,710",139.42M
101,SNES,"SenesTech, Inc.",3.94,31.33%,"4,714,598",4.07M
102,BHAT,Blue Hat Interactive Entertainment Technology,0.13,9.40%,"4,642,261",7.41M
103,RPTX,Repare Therapeutics Inc.,1.77,-55.42%,"4,605,221",75.24M
104,TSHA,"Taysha Gene Therapies, Inc.",2.07,-8.00%,"4,510,191",424.23M
105,RVPH,"Reviva Pharmaceuticals Holdings, Inc.",2.61,-5.78%,"4,449,833",87.28M
106,MVIS,"MicroVision, Inc.",0.82,-1.84%,"4,447,677",178.83M
107,BYND,"Beyond Meat, Inc.",3.84,-1.79%,"4,392,782",250.38M
108,TNYA,"Tenaya Therapeutics, Inc.",2.75,-,"4,381,693",217.86M
109,CLOV,"Clover Health Investments, Corp.",3.11,3.67%,"4,375,900",1.56B
110,MKDW,MKDWELL Tech Inc.,0.92,4.66%,"4,303,066",17.76M
111,TRVI,"Trevi Therapeutics, Inc.",4.17,15.83%,"4,166,226",320.53M
112,AUTL,Autolus Therapeutics plc,2.49,-7.43%,"4,140,901",662.64M
113,CHGG,"Chegg, Inc.",2.19,-2.23%,"4,125,129",228.43M
114,FLGC,Flora Growth Corp.,1.30,-34.34%,"4,123,259",17.38M
115,HOLO,MicroCloud Hologram Inc.,1.42,-5.33%,"4,086,724",29.17M
116,BLDP,Ballard Power Systems Inc.,1.62,1.25%,"4,036,728",481.63M
117,CPIX,Cumberland Pharmaceuticals Inc.,2.38,9.17%,"4,017,212",33.42M
118,WOOF,"Petco Health and Wellness Company, Inc.",4.45,-2.63%,"4,006,786",1.23B
119,CGC,Canopy Growth Corporation,3.11,-1.58%,"3,995,060",327.11M
120,MQ,"Marqeta, Inc.",4.02,-0.25%,"3,979,570",2.02B
121,GXAI,Gaxos.ai Inc.,3.49,-5.68%,"3,963,553",10.02M
122,LAC,Lithium Americas Corp.,3.25,-2.11%,"3,877,641",523.45M
123,BLNK,Blink Charging Co.,1.55,-2.52%,"3,864,285",156.82M
124,UOKA,MDJM Ltd,0.24,-9.81%,"3,862,266",3.75M
125,PTPI,"Petros Pharmaceuticals, Inc.",0.33,-5.83%,"3,853,286",3.30M
126,SVC,Service Properties Trust,2.51,-3.09%,"3,831,010",418.29M
127,DDD,3D Systems Corporation,3.97,-2.93%,"3,790,224",538.41M
128,ZOM,Zomedica Corp.,0.12,-0.08%,"3,746,902",120.53M
129,SID,Companhia Siderúrgica Nacional,1.76,-5.38%,"3,743,387",2.34B
130,WTO,UTime Limited,0.28,-33.33%,"3,729,184",7.20M
131,CRDF,"Cardiff Oncology, Inc.",3.92,19.88%,"3,707,951",200.44M
132,BAK,Braskem S.A.,4.27,-10.67%,"3,697,509",1.72B
133,XFOR,"X4 Pharmaceuticals, Inc.",0.67,11.61%,"3,663,634",114.30M
134,PSNY,Polestar Automotive Holding UK PLC,1.02,-0.97%,"3,628,709",2.15B
135,RVNC,"Revance Therapeutics, Inc.",3.08,-0.32%,"3,551,341",323.10M
136,SYRS,"Syros Pharmaceuticals, Inc.",0.21,-12.13%,"3,520,322",5.56M
137,ALLO,"Allogene Therapeutics, Inc.",1.89,-6.44%,"3,475,107",396.28M
138,TGB,Taseko Mines Limited,2.08,-0.48%,"3,380,418",633.15M
139,CYH,"Community Health Systems, Inc.",3.47,0.58%,"3,343,928",459.41M
140,SANA,"Sana Biotechnology, Inc.",1.89,-7.35%,"3,339,196",421.98M
141,LITM,Snow Lake Resources Ltd.,0.16,3.80%,"3,272,227",4.69M
142,HPP,"Hudson Pacific Properties, Inc.",3.29,-0.30%,"3,225,663",476.13M
143,ABCL,AbCellera Biologics Inc.,2.81,-4.75%,"3,218,326",829.98M
144,NIVF,NewGenIvf Group Limited,0.32,-16.43%,"3,177,072",4.31M
145,JMIA,Jumia Technologies AG,4.35,-6.25%,"3,161,324",532.71M
146,SVRA,Savara Inc.,3.21,-4.18%,"3,153,423",550.90M
147,IDAI,T Stamp Inc.,0.37,-11.96%,"3,113,673",8.66M
148,OPK,"OPKO Health, Inc.",1.59,-1.24%,"3,042,605",1.07B
149,ADAP,Adaptimmune Therapeutics plc,0.58,-8.14%,"3,032,962",148.44M
150,GEVO,"Gevo, Inc.",1.54,1.99%,"3,025,477",356.03M
151,EFSH,1847 Holdings LLC,0.26,-3.73%,"3,005,202",4.32M
152,PL,Planet Labs PBC,4.01,3.08%,"2,998,878",1.19B
153,SHLS,"Shoals Technologies Group, Inc.",4.41,-,"2,955,605",735.14M
154,BLND,"Blend Labs, Inc.",4.92,-3.15%,"2,932,582",1.26B
155,LYEL,"Lyell Immunopharma, Inc.",0.67,-11.37%,"2,922,967",188.14M
156,KIND,"Nextdoor Holdings, Inc.",2.52,-1.18%,"2,900,457",963.00M
157,RLX,RLX Technology Inc.,2.00,-,"2,898,470",2.54B
158,AMPX,"Amprius Technologies, Inc.",1.71,-3.39%,"2,892,731",180.98M
159,LCTX,"Lineage Cell Therapeutics, Inc.",0.51,-2.69%,"2,863,468",111.53M
160,ORKT,Orangekloud Technology Inc.,3.10,-12.92%,"2,855,466",70.53M
161,AGL,"agilon health, inc.",2.24,0.90%,"2,832,866",922.92M
162,JZXN,"Jiuzi Holdings, Inc.",1.78,-14.42%,"2,830,379",18.53M
163,NKTX,"Nkarta, Inc.",2.34,2.18%,"2,806,137",165.13M
164,TNGX,"Tango Therapeutics, Inc.",3.06,7.37%,"2,795,689",328.70M
165,WW,"WW International, Inc.",1.35,-8.78%,"2,786,181",107.82M
166,PSEC,Prospect Capital Corporation,4.50,0.45%,"2,722,386",1.96B
167,HTZ,"Hertz Global Holdings, Inc.",4.22,-1.40%,"2,718,369",1.29B
168,FATE,"Fate Therapeutics, Inc.",1.83,-4.94%,"2,675,990",208.43M
169,NOTE,"FiscalNote Holdings, Inc.",1.08,19.95%,"2,662,806",152.51M
